T\p, 1e-4, 1e-3, 1e-2, 1e-1, 1e0, 1e1, 1e2
1.00000e+03,1.00829e+00,1.00973e+00,1.01045e+00,1.01095e+00,1.01102e+00,1.01431e+00,1.01084e+00
1.50000e+03,1.01051e+00,1.01060e+00,1.01333e+00,1.01013e+00,1.01010e+00,1.01010e+00,1.01312e+00
2.00000e+03,1.02060e+00,1.00817e+00,1.00594e+00,1.00599e+00,1.00603e+00,1.00901e+00,1.01215e+00
2.50000e+03,1.17683e+00,1.09078e+00,1.03861e+00,1.01320e+00,1.00489e+00,1.01108e+00,1.01101e+00
3.00000e+03,1.21086e+00,1.19717e+00,1.15663e+00,1.06882e+00,1.03036e+00,1.01588e+00,1.01621e+00
3.50000e+03,1.21936e+00,1.21602e+00,1.19483e+00,1.15626e+00,1.09165e+00,1.03959e+00,1.01516e+00
4.00000e+03,1.29281e+00,1.23537e+00,1.21464e+00,1.20803e+00,1.16603e+00,1.09107e+00,1.03263e+00
4.50000e+03,1.57948e+00,1.33843e+00,1.25453e+00,1.22332e+00,1.21647e+00,1.14893e+00,1.06879e+00
5.00000e+03,1.91121e+00,1.62302e+00,1.35086e+00,1.25294e+00,1.22524e+00,1.18464e+00,1.11733e+00
5.50000e+03,1.99030e+00,1.90190e+00,1.59469e+00,1.34860e+00,1.25145e+00,1.21464e+00,1.15600e+00
6.00000e+03,2.01720e+00,1.98333e+00,1.85607e+00,1.52523e+00,1.31947e+00,1.24200e+00,1.18292e+00
6.50000e+03,2.04363e+00,2.01588e+00,1.96956e+00,1.74577e+00,1.43996e+00,1.28151e+00,1.21027e+00
7.00000e+03,2.09275e+00,2.03926e+00,2.00843e+00,1.90870e+00,1.61097e+00,1.35079e+00,1.24464e+00
7.50000e+03,2.21138e+00,2.07592e+00,2.02951e+00,2.01034e+00,1.77635e+00,1.45791e+00,1.29146e+00
8.00000e+03,2.44514e+00,2.14950e+00,2.05597e+00,2.03141e+00,1.89876e+00,1.60192e+00,1.33918e+00
8.50000e+03,2.80055e+00,2.29718e+00,2.09518e+00,2.03632e+00,1.96262e+00,1.72324e+00,1.41674e+00
9.00000e+03,3.28321e+00,2.52688e+00,2.16841e+00,2.06350e+00,1.99822e+00,1.83777e+00,1.50405e+00
9.50000e+03,3.63959e+00,2.84109e+00,2.29325e+00,2.09664e+00,2.02823e+00,1.91620e+00,1.61118e+00
1.00000e+04,3.84866e+00,3.20404e+00,2.46249e+00,2.14855e+00,2.05161e+00,1.97411e+00,1.71218e+00
1.05000e+04,3.93147e+00,3.51224e+00,2.69476e+00,2.22993e+00,2.08258e+00,2.02341e+00,1.80085e+00
1.10000e+04,3.96731e+00,3.74337e+00,2.99250e+00,2.34530e+00,2.12066e+00,2.04063e+00,1.87098e+00
1.15000e+04,3.99427e+00,3.86861e+00,3.26562e+00,2.50543e+00,2.16911e+00,2.05510e+00,1.91631e+00
1.20000e+04,3.99983e+00,3.93678e+00,3.51255e+00,2.69527e+00,2.23920e+00,2.07581e+00,1.94576e+00
1.25000e+04,4.00499e+00,3.97330e+00,3.68826e+00,2.89696e+00,2.32202e+00,2.10482e+00,1.98985e+00
1.30000e+04,4.00419e+00,3.98817e+00,3.80991e+00,3.12291e+00,2.41634e+00,2.13778e+00,2.02329e+00
1.35000e+04,4.00304e+00,3.99381e+00,3.88414e+00,3.34745e+00,2.53475e+00,2.17996e+00,2.05377e+00
1.40000e+04,4.00508e+00,3.99249e+00,3.93769e+00,3.52613e+00,2.69832e+00,2.23636e+00,2.08023e+00
1.45000e+04,4.00419e+00,4.00351e+00,3.97777e+00,3.69494e+00,2.90666e+00,2.31550e+00,2.10719e+00
1.50000e+04,4.00302e+00,4.00111e+00,3.99966e+00,3.77770e+00,3.03224e+00,2.37867e+00,2.11890e+00
