p_1e-4,,p_1e-3,,p_1e-2,,p_1e-1,,p_1e0,,p_1e1,,p_1e2,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
479.8585024415004,1.3869141072269295,504.1383910982272,1.3856695317978356,504.138391098227,1.3856695317978354,485.8964712375059,1.3862970467291846,497.9724088295163,1.3850629257336948,491.9344400335108,1.3856799862314397,485.89647123750615,1.3862970467291846
999.6358727887455,1.3387415706684151,999.6358727887446,1.3387415706684151,993.5979039927397,1.33935863116616,999.635872788745,1.3387415706684154,999.6358727887455,1.3387415706684154,993.5338972563868,1.3387467978852174,993.5338972563868,1.3387467978852174
1490.183500201265,1.3028318358127646,1490.8875743011522,1.3095620019031338,1491.143601246566,1.3120093350269042,1478.93965018185,1.3120197894605086,1491.1436012465656,1.3120093350269042,1491.0795945102127,1.3113975017459616,1491.1436012465656,1.3120093350269042
1987.2598147218328,1.1543290956132628,1999.1864032623512,1.2100006969622403,1998.525000320033,1.2620117530591664,1994.983294241812,1.286490311513674,2002.1733842921772,1.2968862500728966,2002.4294112375906,1.299333583196667,2002.4934179739444,1.2999454164776096
2498.03357082203,1.1367586775354845,2496.3693956768416,1.120851012230976,2493.1477232803877,1.1483887370901966,2498.0762419795997,1.1954998997227797,2497.4788457736345,1.2481227891006483,2506.461124441896,1.2756500595262648,2489.6273527809494,1.289737906638352
3003.409425489758,1.3009236527648775,2995.9846440727624,1.229950992175532,3005.969694943894,1.1503969840025832,2999.4196722570614,1.1461193782527865,3003.0040494928526,1.1803820419855744,3002.2786398141807,1.2317812648015578,2999.761041517613,1.2660491557511473
3496.5599935139844,1.1732284713342276,3499.290947598396,1.2576666913211132,3499.6749880165153,1.261337691006769,3497.7121147683447,1.184241470391195,3495.8559194140953,1.1664983052438584,3492.5702402812867,1.1934241968221366,3490.6927093482545,1.2338104205811526
4001.701156815081,1.1018167245334975,4005.6695744689923,1.1397503879519408,3995.0444562343264,1.2131860633154634,3999.204894097298,1.2529552265767347,3999.93030377597,1.2015560037607513,3998.2021218944283,1.1850365051753002,3994.9164427616197,1.2119623967535786
4495.065080627151,1.092827654039323,4489.987212876447,1.1026222137512072,4493.571590112239,1.1368848774839946,4494.190321896987,1.2011325991997734,4504.452735292319,1.2408965352442425,4494.958402733229,1.208474598571085,4488.9204339372245,1.2090916590688296
